0A_Voltage,0A_Current,0B_Voltage,0B_Current
+0.0004,-0.0003,+0.0037,+0.0001
+0.0004,+0.0000,+0.0037,+0.0001
+0.0003,-0.0002,+0.0037,+0.0000
+0.0003,-0.0002,+0.0038,+0.0001
+0.0004,-0.0002,+0.0037,+0.0001
+0.0004,-0.0003,+0.0037,+0.0001
+0.0003,-0.0002,+0.0038,+0.0001
+0.0002,-0.0001,+0.0038,+0.0002
+0.0004,-0.0002,+0.0037,+0.0001
+0.0004,-0.0002,+0.0037,+0.0001
+0.0004,-0.0002,+0.0037,+0.0000
+0.0004,-0.0003,+0.0038,+0.0000
+0.0004,-0.0003,+0.0037,+0.0000
+0.0004,-0.0002,+0.0037,+0.0001
+0.0004,-0.0002,+0.0037,+0.0001
+0.0004,-0.0002,+0.0039,+0.0001
+0.0004,-0.0002,+0.0038,+0.0001
+0.0004,-0.0002,+0.0037,+0.0000
+0.0004,-0.0002,+0.0037,+0.0001
+0.0004,-0.0002,+0.0037,+0.0001
+0.0003,-0.0003,+0.0038,+0.0001
+0.0003,-0.0003,+0.0038,+0.0001
+0.0004,-0.0003,+0.0038,+0.0001
+0.0004,-0.0003,+0.0038,+0.0001
+0.0004,-0.0002,+0.0037,+0.0000
+0.0003,-0.0002,+0.0038,+0.0000
+0.0004,-0.0003,+0.0038,+0.0001
+0.0004,-0.0002,+0.0038,+0.0001
+0.0004,-0.0002,+0.0038,+0.0001
+0.0004,-0.0003,+0.0037,+0.0000
+0.0004,-0.0002,+0.0037,+0.0001
+0.0004,-0.0002,+0.0037,+0.0001
+0.0004,-0.0001,+0.0038,+0.0001
+0.0004,-0.0002,+0.0038,+0.0001
+0.0003,-0.0002,+0.0038,+0.0001
+0.0004,-0.0002,+0.0037,+0.0000
+0.0004,-0.0001,+0.0037,+0.0001
+0.0004,-0.0001,+0.0037,+0.0000
+0.0002,-0.0002,+0.0038,+0.0000
+0.0004,-0.0002,+0.0038,+0.0001
+0.0003,-0.0003,+0.0038,+0.0001
+0.0004,-0.0003,+0.0037,-0.0001
+0.0004,-0.0003,+0.0037,+0.0001
+0.0004,-0.0003,+0.0038,+0.0001
+0.0003,-0.0002,+0.0038,+0.0001
+0.0004,-0.0002,+0.0037,+0.0001
+0.0003,-0.0002,+0.0037,+0.0001
+0.0004,-0.0002,+0.0037,+0.0001
+0.0004,-0.0002,+0.0037,+0.0000
+0.0004,-0.0003,+0.0037,+0.0000
+0.0004,-0.0001,+0.0037,+0.0000
+0.0004,-0.0002,+0.0039,+0.0001
+0.0004,-0.0003,+0.0038,+0.0000
+0.0004,-0.0002,+0.0037,+0.0000
+0.0003,-0.0002,+0.0037,+0.0001
+0.0004,-0.0002,+0.0038,+0.0000
+0.0004,-0.0004,+0.0037,+0.0001
+0.0004,-0.0002,+0.0038,+0.0001
+0.0003,-0.0003,+0.0037,+0.0000
+0.0004,-0.0003,+0.0037,-0.0002
+0.0004,-0.0003,+0.0037,+0.0000
+0.0003,-0.0001,+0.0037,+0.0001
+0.0004,-0.0002,+0.0038,+0.0000
+0.0004,-0.0002,+0.0038,+0.0000
+0.0004,-0.0002,+0.0037,+0.0001
+0.0003,-0.0002,+0.8964,+0.0024
+0.0004,-0.0002,+3.2019,+0.0036
+0.0004,-0.0001,+3.2477,+0.0015
+0.0004,-0.0001,+3.2499,+0.0006
+0.0004,-0.0001,+3.2506,+0.0001
