0A_Voltage,0A_Current,0B_Voltage,0B_Current
+3.2898,-0.0002,+0.0037,+0.0000
+3.2899,-0.0002,+0.0038,+0.0000
+3.2901,-0.0002,+0.0038,-0.0001
+3.2901,-0.0003,+0.0037,-0.0001
+3.2898,-0.0003,+0.0037,+0.0001
+3.2899,-0.0002,+0.0037,+0.0001
+3.2902,-0.0002,+0.0037,+0.0001
+3.2902,-0.0003,+0.0037,+0.0000
+3.2902,-0.0002,+0.0038,+0.0002
+3.2898,-0.0002,+0.0037,+0.0001
+3.2898,-0.0001,+0.0037,+0.0001
+3.2898,-0.0003,+0.0038,+0.0000
+3.2898,-0.0001,+0.0038,+0.0001
+3.2902,-0.0002,+0.0038,+0.0000
+3.2899,-0.0001,+0.0038,+0.0000
+3.2902,-0.0001,+0.0038,+0.0000
+3.2901,-0.0002,+0.0037,+0.0001
+3.2901,-0.0002,+0.0037,+0.0000
+3.2900,-0.0002,+0.0038,+0.0001
+3.2900,-0.0002,+0.0037,+0.0001
+3.2898,-0.0002,+0.0038,+0.0001
+3.2905,-0.0001,+0.0038,+0.0001
+3.2901,-0.0001,+0.0038,+0.0001
+3.2895,-0.0003,+0.0038,+0.0001
+3.2905,-0.0002,+0.0037,+0.0000
+3.2916,-0.0001,+0.0038,+0.0000
+3.2900,-0.0003,+0.0037,+0.0001
+3.2897,-0.0004,+0.0038,+0.0001
+3.2898,-0.0002,+0.0038,+0.0001
+3.2900,-0.0002,+0.0038,+0.0001
+3.2900,-0.0002,+0.0037,+0.0001
+3.2899,-0.0001,+0.0038,+0.0001
+3.2901,-0.0002,+0.0037,+0.0001
+3.2899,-0.0002,+0.0038,+0.0000
+3.2900,-0.0003,+0.0037,+0.0000
+3.2901,-0.0002,+0.0037,+0.0001
+3.2901,-0.0002,+0.0037,+0.0001
+3.2902,-0.0002,+0.0038,+0.0001
+3.2902,-0.0002,+0.0038,+0.0001
+3.2900,-0.0003,+0.0037,+0.0000
+3.2902,-0.0002,+0.0037,+0.0002
+3.2900,-0.0002,+0.0037,+0.0000
+3.2899,-0.0002,+0.0038,+0.0000
+3.2897,-0.0002,+0.0038,+0.0000
+3.2901,-0.0001,+0.0037,+0.0000
+3.2900,-0.0002,+0.0037,-0.0001
+3.2901,-0.0003,+0.0037,+0.0000
+3.2901,-0.0003,+0.0038,+0.0001
+3.2902,-0.0002,+0.0037,+0.0001
+3.2899,-0.0002,+0.0038,+0.0001
+3.2901,-0.0002,+0.0038,+0.0000
+3.2902,-0.0003,+0.0037,+0.0002
+3.2901,-0.0001,+0.0037,+0.0001
+3.2899,-0.0002,+0.0037,+0.0000
+3.2899,-0.0003,+0.0038,+0.0001
+3.2900,-0.0002,+0.0037,+0.0000
+3.2899,-0.0003,+0.0038,+0.0000
+3.2902,-0.0002,+0.0037,+0.0000
+3.2904,-0.0001,+0.0037,+0.0000
+3.2898,-0.0001,+0.0037,+0.0000
+3.2898,-0.0002,+0.0037,+0.0000
+3.2900,-0.0002,+0.0038,+0.0001
+3.2899,-0.0003,+0.0037,+0.0001
+3.2902,-0.0002,+0.0037,+0.0000
+3.2902,-0.0002,+0.0038,+0.0000
+3.2902,-0.0002,+0.0037,+0.0001
+3.2898,-0.0002,+0.0037,+0.0001
+3.2902,-0.0002,+0.0038,+0.0001
+3.2902,-0.0002,+0.0037,+0.0000
+3.2901,-0.0002,+0.0037,-0.0001
+3.2899,-0.0002,+0.0037,+0.0000
+3.2899,-0.0002,+0.0037,+0.0001
+3.2899,-0.0002,+0.0037,+0.0001
+3.2902,-0.0002,+0.0038,+0.0001
+3.2902,-0.0002,+0.0037,+0.0001
+3.2901,-0.0002,+0.0037,+0.0002
+3.2901,-0.0001,+0.0037,+0.0000
+3.2899,-0.0002,+0.0037,+0.0001
+3.2899,-0.0003,+0.0038,+0.0001
+3.2897,-0.0001,+0.0038,+0.0000
+3.2900,-0.0001,+0.0037,+0.0001
+3.2899,-0.0002,+0.0038,+0.0000
+3.2898,-0.0002,+0.0037,+0.0001
+3.2898,+0.0001,+0.0036,+0.0001
+3.2899,-0.0002,+0.0038,+0.0000
+3.2895,-0.0002,+0.0038,+0.0001
+3.2899,-0.0004,+0.0038,+0.0000
+3.2895,-0.0001,+0.0037,+0.0001
+3.2898,+0.0000,+0.0038,+0.0000
+3.2895,-0.0001,+0.0037,+0.0001
+3.2900,+0.0000,+0.0038,+0.0000
+3.2891,+0.0000,+0.0038,+0.0001
+3.2895,-0.0001,+0.0037,+0.0000
+3.2901,-0.0001,+0.0037,+0.0001
+3.2902,-0.0003,+0.0037,+0.0001
+3.2899,-0.0002,+0.0037,+0.0000
+3.2900,-0.0002,+0.0037,+0.0000
+3.2900,-0.0003,+0.0038,+0.0001
+3.2903,-0.0004,+0.0039,+0.0000
+3.2902,-0.0002,+0.0037,+0.0000
+3.2900,-0.0002,+0.0037,+0.0001
+3.2898,-0.0003,+0.0037,-0.0001
+3.2898,-0.0003,+0.0037,+0.0000
+3.2901,-0.0002,+0.0038,+0.0000
+3.2902,-0.0002,+0.0038,+0.0001
+3.2899,-0.0002,+0.0038,+0.0001
+3.2901,-0.0002,+0.0037,+0.0000
+3.2899,-0.0002,+0.0037,+0.0000
+3.2901,-0.0002,+0.0037,+0.0000
+3.2898,-0.0002,+0.0037,+0.0001
+3.2898,-0.0002,+0.0039,+0.0000
+3.2899,-0.0002,+0.0037,+0.0000
+3.2899,-0.0002,+0.0037,+0.0000
+3.2900,-0.0002,+0.0037,+0.0000
+3.2901,-0.0002,+0.0037,+0.0001
+3.2902,-0.0002,+0.0038,+0.0000
+3.2902,-0.0002,+0.0039,+0.0000
+3.2903,-0.0003,+0.0037,+0.0000
+3.2900,-0.0002,+0.0037,+0.0000
+3.2901,-0.0002,+0.0037,+0.0000
+3.2901,-0.0002,+0.0037,+0.0000
+3.2901,-0.0001,+0.0038,-0.0001
+3.2901,-0.0002,+0.0038,+0.0000
+3.2902,-0.0001,+0.0038,+0.0001
+3.2898,-0.0002,+0.0037,+0.0001
+3.2902,-0.0002,+0.0037,+0.0001
+3.2898,-0.0002,+0.0037,+0.0000
+3.2898,-0.0003,+0.0038,+0.0000
+3.2901,-0.0002,+0.0037,+0.0000
+3.2899,-0.0002,+0.0038,+0.0000
+3.2898,-0.0001,+0.0037,+0.0001
+3.2902,-0.0002,+0.0037,+0.0002
+3.2901,-0.0002,+0.0037,+0.0000
+3.2898,-0.0001,+0.0037,+0.0000
+3.2898,-0.0002,+0.0038,+0.0001
+3.2898,-0.0002,+0.0038,+0.0000
+3.2899,-0.0002,+0.0037,+0.0000
+3.2898,-0.0002,+0.0037,+0.0000
+3.2900,-0.0002,+0.0037,+0.0000
+3.2900,-0.0002,+0.8973,+0.0025
+3.2902,-0.0001,+3.2018,+0.0036
+3.2901,-0.0001,+3.2477,+0.0014
+3.2902,+0.0000,+3.2497,+0.0006
+3.2898,-0.0002,+3.2504,+0.0001
+3.2901,-0.0002,+3.2506,-0.0001
+3.2901,-0.0002,+3.2510,+0.0000
+3.2902,-0.0002,+3.2512,+0.0000
+3.2899,-0.0002,+3.2513,+0.0000
+3.2901,-0.0002,+3.2513,+0.0001
+3.2900,-0.0003,+3.2513,-0.0001
+3.2905,-0.0001,+3.2514,-0.0001
+3.2898,-0.0003,+3.2514,-0.0001
+3.2879,-0.0002,+3.2515,-0.0002
+3.2899,-0.0003,+3.2516,+0.0000
+3.2904,-0.0002,+3.2515,+0.0000
+3.2901,-0.0002,+3.2515,-0.0001
+3.2918,-0.0002,+3.2515,+0.0000
+3.2898,-0.0002,+3.2515,-0.0001
+3.2895,-0.0003,+3.2517,-0.0001
+3.2898,-0.0002,+3.2516,-0.0002
+3.2901,-0.0001,+3.2517,+0.0001
+3.2902,-0.0001,+3.2515,+0.0000
+3.2901,-0.0002,+3.2516,+0.0001
+3.2902,-0.0002,+3.2515,+0.0000
+3.2899,-0.0002,+3.2517,-0.0001
+3.2902,-0.0003,+3.2517,-0.0001
+3.2898,-0.0003,+3.2516,+0.0000
+3.2895,-0.0002,+3.2516,+0.0000
+3.2898,-0.0003,+3.2517,+0.0000
+3.2900,-0.0002,+3.2517,+0.0000
+3.2900,-0.0002,+3.2517,+0.0000
+3.2900,-0.0001,+3.2517,+0.0000
